(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants reading intently looking down at a jade slip, luxurious imperial study room with wooden desks and bookshelves, daytime, bright natural lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants speaking casually looking at 21-year-old female slim and delicate build long straight black hair tearful and gentle dark eyes beautiful and compassionate facial features Sky blue nurse uniform looking surprised looking at him, luxurious imperial study room, daytime, bright natural lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 21-year-old female slim and delicate build long straight black hair tearful and gentle dark eyes beautiful and compassionate facial features Sky blue nurse uniform looking envious looking off-screen, luxurious imperial study room, daytime, bright natural lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Wide establishing shot, some citizens reading an announcement looking up at a notice board, bustling city street of Long Thanh with high-tech and ancient buildings mixed, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, some citizens discussing excitedly looking at each other, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian reading the notice looking up at the board, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Wide shot, some citizens gossiping looking at each other, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, a pedestrian talking excitedly looking at a neighbor, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a neighbor speaking with awe looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian asking in disbelief looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, a neighbor laughing and explaining looking at a pedestrian, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a neighbor pointing at the notice looking at the board, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian nodding in agreement looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, some citizens chatting animatedly looking at each other, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian speaking skeptically looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a neighbor shaking head looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, a pedestrian reading the notice in shock looking at the board, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian asking with disbelief looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, a neighbor speaking admiringly looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, a pedestrian smiling proudly looking off-screen, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Wide shot, some citizens praising the emperor looking around happily, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, a neighbor walking past smiling looking at 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe stopping to listen looking back at the neighbor, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe waving his hand dismissively looking at a neighbor, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe listening silently looking down, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe walking away looking straight ahead, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe walking fast looking straight ahead, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe thinking intently looking straight ahead, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe murmuring to himself looking down, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe pondering a problem looking straight ahead, bustling city street of Long Thanh, daytime, bright sunlight
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe looking annoyed looking at 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress walking out with a cold expression looking at him, dim and messy apartment room, daytime, murky lighting through dirty windows
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress standing with a cold expression looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe standing in the messy room looking around, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe recalling the past looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe thinking about his marriage looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe feeling relieved looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe standing with a disappointed expression looking at 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress standing defiantly looking at him, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress holding out her hand speaking rudely looking at 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe looking angry looking back at her, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe speaking angrily looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress yelling aggressively looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress continuing to yell looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress sneering mockingly looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress speaking with contempt looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe raising his hand angrily looking at 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress standing defiantly looking at him, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe glaring furiously looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe remembering the past looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe gripping his fist looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress turning pale with fear looking off-screen, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Medium shot, 30-year-old male average build messy black hair honest dark eyes simple and rugged facial features Faded bronze alchemist robe lowering his hand sighing looking at 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress standing still looking relieved, dim and messy apartment room, daytime, murky lighting
(Masterpiece, best quality), Anime style digital illustration, clean lineart, Vivid colors, dynamic angle, hyper-detailed. Close-up, 25-year-old female slender and curvy build long wavy black hair greedy dark eyes stunningly beautiful and vain facial features Vibrant lime green silk dress sighing with relief looking down, dim and messy apartment room, daytime, murky lighting
